entry_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_usd,risk_usd,rr_actual,confidence,confluence,regime,session,equity
2024-06-06 12:00,BUY,2376.6,2368.0,2393.81,2393.81,WIN,200.0,100.0,2.0,85.2,4,0,New York,10200.0
2024-08-01 08:00,BUY,2478.1,2426.92,2580.46,2426.92,LOSS,-102.0,102.0,1.0,74.2,4,0,London,10098.0
2024-08-01 09:00,BUY,2476.8,2422.64,2585.12,2422.64,LOSS,-100.98,100.98,1.0,85.9,4,0,London,9997.02
2024-08-02 14:00,BUY,2474.4,2408.52,2606.16,2408.52,LOSS,-99.97,99.97,1.0,72.6,5,0,New York,9897.05
2024-08-27 13:00,BUY,2547.8,2528.2,2587.0,2528.2,LOSS,-98.97,98.97,1.0,85.5,4,0,New York,9798.08
2024-10-25 09:00,BUY,2733.4,2725.44,2749.31,2749.31,WIN,195.96,97.98,2.0,78.4,4,0,London,9994.04
2024-12-04 09:00,BUY,2662.8,2643.18,2702.03,2643.18,LOSS,-99.94,99.94,1.0,79.3,4,0,London,9894.1
2024-12-04 12:00,BUY,2659.2,2635.36,2706.88,2635.36,LOSS,-98.94,98.94,1.0,94.7,4,0,New York,9795.16
2025-01-14 13:00,BUY,2675.3,2664.79,2696.31,2696.31,WIN,195.9,97.95,2.0,77.8,4,0,New York,9991.06
2025-02-14 09:00,SELL,2959.3,2976.33,2925.24,2925.24,WIN,199.82,99.91,2.0,97.8,4,0,London,10190.88
2025-02-14 13:00,BUY,2940.3,2918.29,2984.33,2918.29,LOSS,-101.91,101.91,1.0,81.7,4,0,New York,10088.98
2025-03-17 12:00,BUY,2994.4,2984.22,3014.76,3014.76,WIN,201.78,100.89,2.0,71.9,4,0,New York,10290.75
2025-07-04 14:00,BUY,3343.3,3333.28,3363.33,3333.28,LOSS,-102.91,102.91,1.0,73.8,4,0,New York,10187.85
2025-08-22 08:00,BUY,3370.6,3362.25,3387.3,3387.3,WIN,203.76,101.88,2.0,89.3,4,1,London,10391.6
2025-08-29 09:00,BUY,3467.6,3460.81,3481.17,3481.17,WIN,207.83,103.92,2.0,97.7,4,0,London,10599.44
2025-09-08 08:00,SELL,3651.4,3668.11,3617.98,3668.11,LOSS,-105.99,105.99,1.0,75.9,4,0,London,10493.44
2025-09-15 09:00,BUY,3678.3,3667.33,3700.24,3700.24,WIN,209.87,104.93,2.0,89.8,4,0,London,10703.31
2026-01-02 12:00,SELL,4407.0,4432.54,4355.93,4355.93,WIN,214.07,107.03,2.0,91.3,4,1,New York,10917.38
2026-01-14 08:00,SELL,4641.8,4665.3,4594.79,4594.79,WIN,218.35,109.17,2.0,94.2,4,0,London,11135.72
2026-01-23 08:00,BUY,4915.3,4880.27,4985.35,4985.35,WIN,222.71,111.36,2.0,88.4,4,0,London,11358.44
2026-03-13 12:00,SELL,5124.4,5154.05,5065.1,5065.1,WIN,227.17,113.58,2.0,82.4,4,1,New York,11585.61
